id:[14380], time_cost:[258], payload_size:[512], speed:[1.984496]
id:[12867], time_cost:[227], payload_size:[512], speed:[2.255507]
id:[10318], time_cost:[289], payload_size:[512], speed:[1.771626]
id:[14416], time_cost:[251], payload_size:[512], speed:[2.039841]
id:[11131], time_cost:[178], payload_size:[512], speed:[2.876404]
id:[12372], time_cost:[247], payload_size:[512], speed:[2.072874]
id:[12244], time_cost:[314], payload_size:[512], speed:[1.630573]
id:[11875], time_cost:[331], payload_size:[512], speed:[1.546828]
id:[10184], time_cost:[383], payload_size:[512], speed:[1.336815]
id:[13927], time_cost:[280], payload_size:[512], speed:[1.828571]
id:[12264], time_cost:[413], payload_size:[512], speed:[1.239709]
id:[11663], time_cost:[392], payload_size:[512], speed:[1.306122]
id:[13302], time_cost:[331], payload_size:[512], speed:[1.546828]
id:[10314], time_cost:[491], payload_size:[512], speed:[1.042770]
id:[11447], time_cost:[370], payload_size:[512], speed:[1.383784]
id:[12626], time_cost:[254], payload_size:[512], speed:[2.015748]
id:[11993], time_cost:[243], payload_size:[512], speed:[2.106996]
id:[13118], time_cost:[573], payload_size:[512], speed:[0.893543]
id:[11420], time_cost:[547], payload_size:[512], speed:[0.936015]
id:[14451], time_cost:[403], payload_size:[512], speed:[1.270471]
id:[12901], time_cost:[314], payload_size:[512], speed:[1.630573]
id:[10595], time_cost:[362], payload_size:[512], speed:[1.414365]
id:[10507], time_cost:[325], payload_size:[512], speed:[1.575385]
id:[14317], time_cost:[365], payload_size:[512], speed:[1.402740]
id:[12271], time_cost:[303], payload_size:[512], speed:[1.689769]
id:[13986], time_cost:[359], payload_size:[512], speed:[1.426184]
id:[14450], time_cost:[391], payload_size:[512], speed:[1.309463]
id:[14099], time_cost:[339], payload_size:[512], speed:[1.510324]
id:[12713], time_cost:[469], payload_size:[512], speed:[1.091684]
id:[11253], time_cost:[383], payload_size:[512], speed:[1.336815]
id:[13813], time_cost:[288], payload_size:[512], speed:[1.777778]
id:[10954], time_cost:[576], payload_size:[512], speed:[0.888889]
id:[13929], time_cost:[350], payload_size:[512], speed:[1.462857]
id:[13324], time_cost:[347], payload_size:[512], speed:[1.475504]
id:[11643], time_cost:[471], payload_size:[512], speed:[1.087049]
id:[13497], time_cost:[457], payload_size:[512], speed:[1.120350]
id:[13584], time_cost:[360], payload_size:[512], speed:[1.422222]
id:[11118], time_cost:[480], payload_size:[512], speed:[1.066667]
id:[11294], time_cost:[486], payload_size:[512], speed:[1.053498]
id:[11017], time_cost:[528], payload_size:[512], speed:[0.969697]
id:[14046], time_cost:[455], payload_size:[512], speed:[1.125275]
id:[14114], time_cost:[331], payload_size:[512], speed:[1.546828]
id:[11603], time_cost:[427], payload_size:[512], speed:[1.199063]
id:[11708], time_cost:[309], payload_size:[512], speed:[1.656958]
id:[11919], time_cost:[503], payload_size:[512], speed:[1.017893]
id:[13161], time_cost:[421], payload_size:[512], speed:[1.216152]
id:[11520], time_cost:[396], payload_size:[512], speed:[1.292929]
id:[10711], time_cost:[388], payload_size:[512], speed:[1.319588]
id:[10999], time_cost:[409], payload_size:[512], speed:[1.251834]
id:[14486], time_cost:[518], payload_size:[512], speed:[0.988417]
id:[10071], time_cost:[500], payload_size:[512], speed:[1.024000]
id:[12073], time_cost:[530], payload_size:[512], speed:[0.966038]
id:[14671], time_cost:[506], payload_size:[512], speed:[1.011858]
id:[14672], time_cost:[457], payload_size:[512], speed:[1.120350]
id:[14805], time_cost:[342], payload_size:[512], speed:[1.497076]
id:[12462], time_cost:[310], payload_size:[512], speed:[1.651613]
id:[14455], time_cost:[610], payload_size:[512], speed:[0.839344]
id:[10595], time_cost:[534], payload_size:[512], speed:[0.958801]
id:[12444], time_cost:[363], payload_size:[512], speed:[1.410468]
id:[13939], time_cost:[499], payload_size:[512], speed:[1.026052]
id:[11279], time_cost:[534], payload_size:[512], speed:[0.958801]
id:[11773], time_cost:[338], payload_size:[512], speed:[1.514793]
id:[10775], time_cost:[552], payload_size:[512], speed:[0.927536]
id:[13597], time_cost:[534], payload_size:[512], speed:[0.958801]
id:[10330], time_cost:[550], payload_size:[512], speed:[0.930909]
id:[12818], time_cost:[469], payload_size:[512], speed:[1.091684]
id:[11839], time_cost:[356], payload_size:[512], speed:[1.438202]
id:[13856], time_cost:[438], payload_size:[512], speed:[1.168950]
id:[12073], time_cost:[286], payload_size:[512], speed:[1.790210]
id:[13576], time_cost:[358], payload_size:[512], speed:[1.430168]
id:[13576], time_cost:[410], payload_size:[512], speed:[1.248780]
id:[14349], time_cost:[571], payload_size:[512], speed:[0.896673]
id:[13019], time_cost:[400], payload_size:[512], speed:[1.280000]
id:[13626], time_cost:[385], payload_size:[512], speed:[1.329870]
id:[10298], time_cost:[517], payload_size:[512], speed:[0.990329]
id:[13124], time_cost:[466], payload_size:[512], speed:[1.098712]
id:[13925], time_cost:[495], payload_size:[512], speed:[1.034343]
id:[10290], time_cost:[370], payload_size:[512], speed:[1.383784]
id:[13229], time_cost:[360], payload_size:[512], speed:[1.422222]
id:[13865], time_cost:[452], payload_size:[512], speed:[1.132743]
id:[11008], time_cost:[375], payload_size:[512], speed:[1.365333]
id:[11155], time_cost:[404], payload_size:[512], speed:[1.267327]
id:[10278], time_cost:[625], payload_size:[512], speed:[0.819200]
id:[11487], time_cost:[478], payload_size:[512], speed:[1.071130]
id:[14725], time_cost:[500], payload_size:[512], speed:[1.024000]
id:[13616], time_cost:[441], payload_size:[512], speed:[1.160998]
id:[14014], time_cost:[506], payload_size:[512], speed:[1.011858]
id:[11373], time_cost:[424], payload_size:[512], speed:[1.207547]
id:[13526], time_cost:[465], payload_size:[512], speed:[1.101075]
id:[12209], time_cost:[345], payload_size:[512], speed:[1.484058]
id:[12907], time_cost:[469], payload_size:[512], speed:[1.091684]
id:[13365], time_cost:[464], payload_size:[512], speed:[1.103448]
id:[13416], time_cost:[555], payload_size:[512], speed:[0.922523]
id:[14014], time_cost:[461], payload_size:[512], speed:[1.110629]
id:[14996], time_cost:[458], payload_size:[512], speed:[1.117904]
id:[14452], time_cost:[468], payload_size:[512], speed:[1.094017]
id:[13353], time_cost:[658], payload_size:[512], speed:[0.778116]
id:[14026], time_cost:[587], payload_size:[512], speed:[0.872232]
id:[10301], time_cost:[404], payload_size:[512], speed:[1.267327]
id:[13432], time_cost:[473], payload_size:[512], speed:[1.082452]
id:[13872], time_cost:[472], payload_size:[512], speed:[1.084746]
id:[11270], time_cost:[397], payload_size:[512], speed:[1.289673]
id:[14888], time_cost:[536], payload_size:[512], speed:[0.955224]
id:[11671], time_cost:[512], payload_size:[512], speed:[1.000000]
id:[11532], time_cost:[525], payload_size:[512], speed:[0.975238]
id:[11357], time_cost:[264], payload_size:[512], speed:[1.939394]
id:[13533], time_cost:[411], payload_size:[512], speed:[1.245742]
id:[11538], time_cost:[752], payload_size:[512], speed:[0.680851]
