id:[12921], time_cost:[243], payload_size:[6656], speed:[27.390947]
id:[11796], time_cost:[238], payload_size:[9216], speed:[38.722689]
id:[10169], time_cost:[232], payload_size:[3072], speed:[13.241379]
id:[13706], time_cost:[369], payload_size:[5632], speed:[15.262873]
id:[12359], time_cost:[208], payload_size:[3584], speed:[17.230769]
id:[12393], time_cost:[338], payload_size:[7680], speed:[22.721893]
id:[12642], time_cost:[483], payload_size:[9216], speed:[19.080745]
id:[13084], time_cost:[478], payload_size:[7680], speed:[16.066946]
id:[13862], time_cost:[585], payload_size:[5632], speed:[9.627350]
id:[10976], time_cost:[400], payload_size:[1536], speed:[3.840000]
id:[10859], time_cost:[487], payload_size:[6656], speed:[13.667351]
id:[13483], time_cost:[581], payload_size:[4608], speed:[7.931153]
id:[10913], time_cost:[218], payload_size:[7680], speed:[35.229358]
id:[12435], time_cost:[328], payload_size:[7168], speed:[21.853659]
id:[10574], time_cost:[336], payload_size:[2048], speed:[6.095238]
id:[10014], time_cost:[374], payload_size:[3584], speed:[9.582888]
id:[11112], time_cost:[438], payload_size:[1024], speed:[2.337900]
id:[10925], time_cost:[499], payload_size:[4096], speed:[8.208417]
id:[12966], time_cost:[603], payload_size:[4608], speed:[7.641791]
id:[12196], time_cost:[444], payload_size:[4608], speed:[10.378378]
id:[10287], time_cost:[764], payload_size:[512], speed:[0.670157]
id:[14131], time_cost:[404], payload_size:[4608], speed:[11.405941]
id:[14301], time_cost:[331], payload_size:[3584], speed:[10.827795]
id:[13218], time_cost:[752], payload_size:[3072], speed:[4.085106]
id:[11239], time_cost:[609], payload_size:[3072], speed:[5.044335]
id:[10786], time_cost:[436], payload_size:[7168], speed:[16.440367]
id:[14183], time_cost:[372], payload_size:[5632], speed:[15.139785]
id:[14113], time_cost:[322], payload_size:[1024], speed:[3.180124]
id:[12741], time_cost:[277], payload_size:[1024], speed:[3.696751]
id:[14048], time_cost:[480], payload_size:[7680], speed:[16.000000]
id:[10048], time_cost:[518], payload_size:[3584], speed:[6.918919]
id:[11886], time_cost:[353], payload_size:[512], speed:[1.450425]
id:[10566], time_cost:[481], payload_size:[3072], speed:[6.386694]
id:[12906], time_cost:[737], payload_size:[9728], speed:[13.199457]
id:[13109], time_cost:[785], payload_size:[7680], speed:[9.783439]
id:[13853], time_cost:[456], payload_size:[8192], speed:[17.964912]
id:[12957], time_cost:[635], payload_size:[1024], speed:[1.612598]
id:[12343], time_cost:[804], payload_size:[9728], speed:[12.099502]
id:[13167], time_cost:[559], payload_size:[6656], speed:[11.906977]
id:[14296], time_cost:[668], payload_size:[512], speed:[0.766467]
id:[11555], time_cost:[685], payload_size:[1024], speed:[1.494891]
id:[10982], time_cost:[445], payload_size:[3072], speed:[6.903371]
id:[11119], time_cost:[755], payload_size:[4608], speed:[6.103311]
id:[13136], time_cost:[854], payload_size:[4608], speed:[5.395785]
id:[14642], time_cost:[437], payload_size:[1024], speed:[2.343249]
id:[12302], time_cost:[761], payload_size:[7680], speed:[10.091984]
id:[14867], time_cost:[730], payload_size:[1536], speed:[2.104110]
id:[10705], time_cost:[522], payload_size:[3584], speed:[6.865900]
id:[13082], time_cost:[768], payload_size:[9728], speed:[12.666667]
id:[14196], time_cost:[753], payload_size:[6144], speed:[8.159363]
id:[10020], time_cost:[581], payload_size:[6144], speed:[10.574871]
id:[11000], time_cost:[452], payload_size:[6144], speed:[13.592920]
id:[13227], time_cost:[470], payload_size:[10240], speed:[21.787234]
id:[11062], time_cost:[808], payload_size:[4608], speed:[5.702970]
id:[10982], time_cost:[703], payload_size:[10240], speed:[14.566145]
id:[11943], time_cost:[555], payload_size:[9728], speed:[17.527928]
id:[13022], time_cost:[429], payload_size:[8192], speed:[19.095571]
id:[10011], time_cost:[660], payload_size:[1024], speed:[1.551515]
id:[14803], time_cost:[618], payload_size:[3072], speed:[4.970874]
id:[11145], time_cost:[156], payload_size:[3584], speed:[22.974359]
id:[13816], time_cost:[729], payload_size:[9728], speed:[13.344307]
id:[12278], time_cost:[720], payload_size:[512], speed:[0.711111]
id:[13606], time_cost:[733], payload_size:[9728], speed:[13.271487]
id:[14992], time_cost:[667], payload_size:[7168], speed:[10.746627]
id:[13007], time_cost:[635], payload_size:[6144], speed:[9.675591]
id:[10337], time_cost:[533], payload_size:[9728], speed:[18.251407]
id:[11892], time_cost:[710], payload_size:[5632], speed:[7.932394]
id:[13862], time_cost:[370], payload_size:[7680], speed:[20.756757]
id:[14124], time_cost:[547], payload_size:[1024], speed:[1.872029]
id:[14348], time_cost:[702], payload_size:[1024], speed:[1.458689]
id:[14251], time_cost:[347], payload_size:[2048], speed:[5.902017]
id:[11628], time_cost:[641], payload_size:[8192], speed:[12.780031]
id:[11514], time_cost:[639], payload_size:[1536], speed:[2.403756]
id:[11786], time_cost:[680], payload_size:[5120], speed:[7.529412]
id:[13503], time_cost:[765], payload_size:[8704], speed:[11.377778]
id:[10693], time_cost:[663], payload_size:[9216], speed:[13.900452]
id:[10961], time_cost:[787], payload_size:[9216], speed:[11.710292]
