id:[14550], time_cost:[300], payload_size:[6656], speed:[22.186667]
id:[12221], time_cost:[441], payload_size:[36864], speed:[83.591837]
id:[13429], time_cost:[509], payload_size:[20992], speed:[41.241650]
id:[11991], time_cost:[631], payload_size:[23040], speed:[36.513471]
id:[12140], time_cost:[526], payload_size:[41984], speed:[79.817490]
id:[11242], time_cost:[513], payload_size:[26624], speed:[51.898635]
id:[12854], time_cost:[546], payload_size:[7168], speed:[13.128205]
id:[11452], time_cost:[353], payload_size:[17920], speed:[50.764873]
id:[12122], time_cost:[375], payload_size:[3584], speed:[9.557333]
id:[13365], time_cost:[795], payload_size:[49152], speed:[61.826415]
id:[14316], time_cost:[528], payload_size:[46592], speed:[88.242424]
id:[12533], time_cost:[348], payload_size:[5632], speed:[16.183908]
id:[13333], time_cost:[500], payload_size:[27648], speed:[55.296000]
id:[11784], time_cost:[631], payload_size:[40448], speed:[64.101426]
id:[14413], time_cost:[674], payload_size:[36864], speed:[54.694362]
id:[13754], time_cost:[696], payload_size:[49152], speed:[70.620690]
id:[11164], time_cost:[362], payload_size:[22528], speed:[62.232044]
id:[11556], time_cost:[567], payload_size:[14336], speed:[25.283951]
id:[14966], time_cost:[528], payload_size:[5632], speed:[10.666667]
id:[13045], time_cost:[489], payload_size:[48640], speed:[99.468303]
id:[12113], time_cost:[738], payload_size:[37376], speed:[50.644986]
id:[11754], time_cost:[748], payload_size:[5632], speed:[7.529412]
id:[14151], time_cost:[527], payload_size:[8192], speed:[15.544592]
id:[11228], time_cost:[933], payload_size:[18432], speed:[19.755627]
id:[11152], time_cost:[923], payload_size:[44032], speed:[47.705309]
id:[12249], time_cost:[872], payload_size:[41472], speed:[47.559633]
id:[11887], time_cost:[693], payload_size:[45568], speed:[65.754690]
id:[14862], time_cost:[521], payload_size:[39424], speed:[75.669866]
id:[12149], time_cost:[946], payload_size:[29696], speed:[31.391121]
id:[12920], time_cost:[931], payload_size:[31744], speed:[34.096670]
id:[11469], time_cost:[710], payload_size:[6144], speed:[8.653521]
id:[14566], time_cost:[931], payload_size:[32256], speed:[34.646617]
id:[10688], time_cost:[845], payload_size:[37888], speed:[44.837870]
id:[13799], time_cost:[714], payload_size:[19968], speed:[27.966387]
id:[11275], time_cost:[633], payload_size:[3584], speed:[5.661927]
id:[14867], time_cost:[747], payload_size:[11264], speed:[15.078983]
id:[10649], time_cost:[733], payload_size:[28160], speed:[38.417462]
id:[12442], time_cost:[747], payload_size:[25088], speed:[33.585007]
id:[13892], time_cost:[733], payload_size:[33280], speed:[45.402456]
id:[10411], time_cost:[691], payload_size:[33280], speed:[48.162084]
id:[14785], time_cost:[891], payload_size:[43520], speed:[48.843996]
id:[13805], time_cost:[751], payload_size:[43008], speed:[57.267643]
id:[10053], time_cost:[757], payload_size:[41984], speed:[55.461030]
id:[12242], time_cost:[839], payload_size:[44544], speed:[53.091776]
id:[13095], time_cost:[800], payload_size:[4608], speed:[5.760000]
id:[12704], time_cost:[846], payload_size:[38400], speed:[45.390071]
id:[12567], time_cost:[709], payload_size:[44544], speed:[62.826516]
id:[13906], time_cost:[832], payload_size:[26112], speed:[31.384615]
id:[10636], time_cost:[841], payload_size:[14848], speed:[17.655172]
id:[14849], time_cost:[410], payload_size:[23040], speed:[56.195122]
id:[11292], time_cost:[839], payload_size:[25088], speed:[29.902265]
id:[10086], time_cost:[869], payload_size:[38400], speed:[44.188723]
id:[11502], time_cost:[1022], payload_size:[47104], speed:[46.090020]
id:[12071], time_cost:[691], payload_size:[33280], speed:[48.162084]
id:[11157], time_cost:[664], payload_size:[10240], speed:[15.421687]
id:[12886], time_cost:[658], payload_size:[7168], speed:[10.893617]
id:[10181], time_cost:[556], payload_size:[12800], speed:[23.021583]
id:[10706], time_cost:[707], payload_size:[41984], speed:[59.383310]
id:[13130], time_cost:[914], payload_size:[15872], speed:[17.365427]
id:[13020], time_cost:[918], payload_size:[17408], speed:[18.962963]
id:[10404], time_cost:[1075], payload_size:[47616], speed:[44.293953]
id:[13218], time_cost:[880], payload_size:[46592], speed:[52.945455]
id:[14395], time_cost:[659], payload_size:[23040], speed:[34.962064]
id:[10758], time_cost:[877], payload_size:[19456], speed:[22.184721]
id:[10346], time_cost:[852], payload_size:[27648], speed:[32.450704]
id:[10317], time_cost:[1068], payload_size:[33280], speed:[31.161049]
id:[11540], time_cost:[1067], payload_size:[8704], speed:[8.157451]
id:[14090], time_cost:[887], payload_size:[10240], speed:[11.544532]
id:[10110], time_cost:[943], payload_size:[38912], speed:[41.264051]
id:[12791], time_cost:[783], payload_size:[32768], speed:[41.849298]
id:[13705], time_cost:[917], payload_size:[10752], speed:[11.725191]
id:[13973], time_cost:[786], payload_size:[30720], speed:[39.083969]
id:[13165], time_cost:[1099], payload_size:[18432], speed:[16.771611]
id:[10686], time_cost:[881], payload_size:[31744], speed:[36.031782]
id:[13910], time_cost:[1003], payload_size:[3072], speed:[3.062812]
id:[13323], time_cost:[833], payload_size:[30720], speed:[36.878752]
id:[12886], time_cost:[973], payload_size:[45568], speed:[46.832477]
id:[14903], time_cost:[964], payload_size:[39936], speed:[41.427386]
id:[14440], time_cost:[900], payload_size:[23552], speed:[26.168889]
id:[12046], time_cost:[1463], payload_size:[35328], speed:[24.147642]
id:[12750], time_cost:[1065], payload_size:[8704], speed:[8.172770]
id:[10639], time_cost:[938], payload_size:[44544], speed:[47.488273]
id:[12684], time_cost:[915], payload_size:[10752], speed:[11.750820]
id:[10467], time_cost:[1099], payload_size:[18944], speed:[17.237489]
id:[11429], time_cost:[542], payload_size:[37888], speed:[69.904059]
id:[10654], time_cost:[1046], payload_size:[48640], speed:[46.500956]
id:[11977], time_cost:[674], payload_size:[30208], speed:[44.818991]
id:[12844], time_cost:[994], payload_size:[5632], speed:[5.665996]
id:[13053], time_cost:[1067], payload_size:[9728], speed:[9.117151]
id:[14714], time_cost:[972], payload_size:[25600], speed:[26.337449]
id:[14165], time_cost:[640], payload_size:[48640], speed:[76.000000]
id:[13153], time_cost:[1006], payload_size:[33792], speed:[33.590457]
id:[14229], time_cost:[730], payload_size:[20480], speed:[28.054795]
id:[13452], time_cost:[963], payload_size:[14336], speed:[14.886812]
id:[10061], time_cost:[868], payload_size:[10240], speed:[11.797235]
id:[10148], time_cost:[705], payload_size:[9216], speed:[13.072340]
id:[12976], time_cost:[606], payload_size:[4608], speed:[7.603960]
id:[13581], time_cost:[1349], payload_size:[40448], speed:[29.983692]
id:[11992], time_cost:[963], payload_size:[12800], speed:[13.291796]
id:[13560], time_cost:[918], payload_size:[48640], speed:[52.984749]
id:[13099], time_cost:[1276], payload_size:[8704], speed:[6.821317]
id:[14350], time_cost:[1346], payload_size:[5120], speed:[3.803863]
id:[13539], time_cost:[1302], payload_size:[44544], speed:[34.211982]
id:[14276], time_cost:[1256], payload_size:[27648], speed:[22.012739]
id:[10725], time_cost:[1148], payload_size:[26112], speed:[22.745645]
id:[11912], time_cost:[1015], payload_size:[15872], speed:[15.637438]
