id:[10799], time_cost:[335], payload_size:[9216], speed:[27.510448]
id:[10040], time_cost:[173], payload_size:[1536], speed:[8.878613]
id:[11379], time_cost:[259], payload_size:[8704], speed:[33.606178]
id:[12580], time_cost:[320], payload_size:[7168], speed:[22.400000]
id:[13303], time_cost:[466], payload_size:[3584], speed:[7.690987]
id:[10521], time_cost:[373], payload_size:[1536], speed:[4.117962]
id:[11566], time_cost:[334], payload_size:[5120], speed:[15.329341]
id:[10531], time_cost:[347], payload_size:[512], speed:[1.475504]
id:[11322], time_cost:[334], payload_size:[7680], speed:[22.994012]
id:[12631], time_cost:[389], payload_size:[8704], speed:[22.375321]
id:[10185], time_cost:[339], payload_size:[8704], speed:[25.675516]
id:[10041], time_cost:[283], payload_size:[6656], speed:[23.519435]
id:[11079], time_cost:[500], payload_size:[2560], speed:[5.120000]
id:[12632], time_cost:[325], payload_size:[5120], speed:[15.753846]
id:[11867], time_cost:[494], payload_size:[10240], speed:[20.728745]
id:[10877], time_cost:[192], payload_size:[3584], speed:[18.666667]
id:[14649], time_cost:[421], payload_size:[8704], speed:[20.674584]
id:[13502], time_cost:[302], payload_size:[9216], speed:[30.516556]
id:[13413], time_cost:[348], payload_size:[3072], speed:[8.827586]
id:[13163], time_cost:[496], payload_size:[512], speed:[1.032258]
id:[11079], time_cost:[657], payload_size:[2048], speed:[3.117199]
id:[13339], time_cost:[538], payload_size:[7680], speed:[14.275093]
id:[11487], time_cost:[696], payload_size:[1536], speed:[2.206897]
id:[11496], time_cost:[275], payload_size:[2048], speed:[7.447273]
id:[10621], time_cost:[194], payload_size:[4096], speed:[21.113402]
id:[11860], time_cost:[254], payload_size:[5632], speed:[22.173228]
id:[10588], time_cost:[378], payload_size:[8192], speed:[21.671958]
id:[12974], time_cost:[615], payload_size:[7680], speed:[12.487805]
id:[12440], time_cost:[338], payload_size:[4608], speed:[13.633136]
id:[12581], time_cost:[484], payload_size:[9728], speed:[20.099174]
id:[14669], time_cost:[429], payload_size:[6144], speed:[14.321678]
id:[11133], time_cost:[454], payload_size:[4096], speed:[9.022026]
id:[12953], time_cost:[249], payload_size:[4096], speed:[16.449799]
id:[10548], time_cost:[410], payload_size:[6144], speed:[14.985366]
id:[13334], time_cost:[360], payload_size:[3072], speed:[8.533333]
id:[13264], time_cost:[795], payload_size:[3584], speed:[4.508176]
id:[12369], time_cost:[659], payload_size:[512], speed:[0.776935]
id:[12585], time_cost:[594], payload_size:[9728], speed:[16.377104]
id:[12062], time_cost:[326], payload_size:[7680], speed:[23.558282]
id:[14161], time_cost:[377], payload_size:[9216], speed:[24.445623]
id:[11482], time_cost:[531], payload_size:[9216], speed:[17.355932]
id:[11851], time_cost:[518], payload_size:[1536], speed:[2.965251]
id:[14943], time_cost:[638], payload_size:[4608], speed:[7.222571]
id:[10857], time_cost:[237], payload_size:[3072], speed:[12.962025]
id:[13782], time_cost:[407], payload_size:[8192], speed:[20.127764]
id:[12645], time_cost:[611], payload_size:[9216], speed:[15.083470]
id:[12369], time_cost:[264], payload_size:[7680], speed:[29.090909]
id:[10953], time_cost:[362], payload_size:[2560], speed:[7.071823]
id:[14040], time_cost:[657], payload_size:[9216], speed:[14.027397]
id:[10215], time_cost:[649], payload_size:[512], speed:[0.788906]
id:[10700], time_cost:[435], payload_size:[4608], speed:[10.593103]
id:[12372], time_cost:[443], payload_size:[1536], speed:[3.467269]
id:[13593], time_cost:[663], payload_size:[3584], speed:[5.405732]
id:[10376], time_cost:[465], payload_size:[5632], speed:[12.111828]
id:[12588], time_cost:[402], payload_size:[4096], speed:[10.189055]
id:[14585], time_cost:[549], payload_size:[8704], speed:[15.854281]
id:[13918], time_cost:[460], payload_size:[8192], speed:[17.808696]
id:[11464], time_cost:[266], payload_size:[512], speed:[1.924812]
id:[13937], time_cost:[275], payload_size:[3072], speed:[11.170909]
id:[11717], time_cost:[602], payload_size:[8192], speed:[13.607973]
id:[14161], time_cost:[744], payload_size:[7168], speed:[9.634409]
id:[11916], time_cost:[435], payload_size:[5632], speed:[12.947126]
id:[11321], time_cost:[545], payload_size:[7168], speed:[13.152294]
id:[14791], time_cost:[361], payload_size:[3072], speed:[8.509695]
id:[11474], time_cost:[303], payload_size:[1536], speed:[5.069307]
id:[11426], time_cost:[864], payload_size:[8192], speed:[9.481481]
id:[10546], time_cost:[483], payload_size:[1536], speed:[3.180124]
id:[12697], time_cost:[312], payload_size:[3072], speed:[9.846154]
id:[12220], time_cost:[783], payload_size:[9728], speed:[12.424010]
id:[11537], time_cost:[553], payload_size:[9728], speed:[17.591320]
id:[14218], time_cost:[646], payload_size:[1536], speed:[2.377709]
id:[13488], time_cost:[311], payload_size:[7680], speed:[24.694534]
id:[13208], time_cost:[263], payload_size:[1536], speed:[5.840304]
id:[10056], time_cost:[411], payload_size:[9216], speed:[22.423358]
id:[10829], time_cost:[667], payload_size:[512], speed:[0.767616]
id:[11892], time_cost:[658], payload_size:[7680], speed:[11.671733]
id:[11413], time_cost:[487], payload_size:[4096], speed:[8.410678]
id:[13535], time_cost:[679], payload_size:[5632], speed:[8.294551]
