id:[13894], time_cost:[274], payload_size:[5120], speed:[18.686131]
id:[11980], time_cost:[250], payload_size:[8704], speed:[34.816000]
id:[11915], time_cost:[262], payload_size:[25600], speed:[97.709924]
id:[11379], time_cost:[386], payload_size:[31744], speed:[82.238342]
id:[13419], time_cost:[495], payload_size:[44032], speed:[88.953535]
id:[10365], time_cost:[449], payload_size:[48128], speed:[107.189310]
id:[11517], time_cost:[489], payload_size:[46592], speed:[95.280164]
id:[11863], time_cost:[367], payload_size:[12800], speed:[34.877384]
id:[13206], time_cost:[245], payload_size:[14336], speed:[58.514286]
id:[12928], time_cost:[326], payload_size:[9216], speed:[28.269939]
id:[13037], time_cost:[364], payload_size:[31744], speed:[87.208791]
id:[11988], time_cost:[332], payload_size:[37888], speed:[114.120482]
id:[10525], time_cost:[425], payload_size:[19968], speed:[46.983529]
id:[10799], time_cost:[281], payload_size:[15872], speed:[56.483986]
id:[13215], time_cost:[433], payload_size:[36352], speed:[83.953811]
id:[11920], time_cost:[303], payload_size:[23552], speed:[77.729373]
id:[11680], time_cost:[407], payload_size:[35328], speed:[86.800983]
id:[11617], time_cost:[450], payload_size:[9216], speed:[20.480000]
id:[11394], time_cost:[492], payload_size:[32256], speed:[65.560976]
id:[12329], time_cost:[268], payload_size:[11776], speed:[43.940299]
id:[12080], time_cost:[502], payload_size:[41984], speed:[83.633466]
id:[12790], time_cost:[451], payload_size:[34816], speed:[77.197339]
id:[14068], time_cost:[362], payload_size:[10752], speed:[29.701657]
id:[11590], time_cost:[401], payload_size:[8192], speed:[20.428928]
id:[12577], time_cost:[597], payload_size:[44032], speed:[73.755444]
id:[10188], time_cost:[753], payload_size:[39936], speed:[53.035857]
id:[11651], time_cost:[628], payload_size:[7168], speed:[11.414013]
id:[11966], time_cost:[583], payload_size:[25600], speed:[43.910806]
id:[12733], time_cost:[469], payload_size:[25088], speed:[53.492537]
id:[14385], time_cost:[701], payload_size:[43008], speed:[61.352354]
id:[13455], time_cost:[599], payload_size:[42496], speed:[70.944908]
id:[12323], time_cost:[468], payload_size:[31744], speed:[67.829060]
id:[13260], time_cost:[582], payload_size:[31744], speed:[54.542955]
id:[14006], time_cost:[578], payload_size:[49152], speed:[85.038062]
id:[13456], time_cost:[464], payload_size:[8704], speed:[18.758621]
id:[12083], time_cost:[574], payload_size:[25600], speed:[44.599303]
id:[12412], time_cost:[715], payload_size:[41472], speed:[58.002797]
id:[14293], time_cost:[527], payload_size:[29184], speed:[55.377609]
id:[12045], time_cost:[596], payload_size:[8192], speed:[13.744966]
id:[10624], time_cost:[605], payload_size:[4096], speed:[6.770248]
id:[12648], time_cost:[525], payload_size:[46592], speed:[88.746667]
id:[13760], time_cost:[791], payload_size:[36352], speed:[45.957016]
id:[12154], time_cost:[619], payload_size:[24576], speed:[39.702746]
id:[10802], time_cost:[610], payload_size:[24064], speed:[39.449180]
id:[12076], time_cost:[713], payload_size:[32768], speed:[45.957924]
id:[10335], time_cost:[562], payload_size:[6656], speed:[11.843416]
id:[10035], time_cost:[557], payload_size:[24576], speed:[44.122083]
id:[14582], time_cost:[744], payload_size:[12288], speed:[16.516129]
id:[14455], time_cost:[724], payload_size:[27136], speed:[37.480663]
id:[14328], time_cost:[690], payload_size:[33280], speed:[48.231884]
id:[10215], time_cost:[646], payload_size:[5632], speed:[8.718266]
id:[13002], time_cost:[654], payload_size:[17920], speed:[27.400612]
id:[11281], time_cost:[886], payload_size:[14336], speed:[16.180587]
id:[12502], time_cost:[746], payload_size:[34816], speed:[46.670241]
id:[13706], time_cost:[717], payload_size:[46592], speed:[64.981869]
id:[12956], time_cost:[638], payload_size:[23552], speed:[36.915361]
id:[14599], time_cost:[1008], payload_size:[35840], speed:[35.555556]
id:[12574], time_cost:[902], payload_size:[27136], speed:[30.084257]
id:[10712], time_cost:[948], payload_size:[11264], speed:[11.881857]
id:[10998], time_cost:[720], payload_size:[27648], speed:[38.400000]
id:[12068], time_cost:[1242], payload_size:[4096], speed:[3.297907]
id:[13145], time_cost:[1111], payload_size:[37376], speed:[33.641764]
id:[12277], time_cost:[1103], payload_size:[35328], speed:[32.029012]
id:[12087], time_cost:[798], payload_size:[49152], speed:[61.593985]
id:[13657], time_cost:[932], payload_size:[19456], speed:[20.875536]
id:[14182], time_cost:[1222], payload_size:[41984], speed:[34.356792]
id:[13330], time_cost:[1024], payload_size:[35328], speed:[34.500000]
id:[11617], time_cost:[1011], payload_size:[44544], speed:[44.059347]
id:[12542], time_cost:[1345], payload_size:[35840], speed:[26.646840]
id:[14475], time_cost:[944], payload_size:[37888], speed:[40.135593]
id:[10204], time_cost:[856], payload_size:[27648], speed:[32.299065]
id:[10960], time_cost:[948], payload_size:[6144], speed:[6.481013]
id:[13752], time_cost:[828], payload_size:[10240], speed:[12.367150]
id:[11899], time_cost:[904], payload_size:[40448], speed:[44.743363]
id:[12634], time_cost:[1170], payload_size:[44032], speed:[37.634188]
id:[11046], time_cost:[979], payload_size:[31232], speed:[31.901941]
id:[14958], time_cost:[1017], payload_size:[28160], speed:[27.689282]
id:[11062], time_cost:[1179], payload_size:[9728], speed:[8.251060]
id:[12399], time_cost:[971], payload_size:[13824], speed:[14.236869]
id:[10363], time_cost:[875], payload_size:[35328], speed:[40.374857]
id:[10491], time_cost:[645], payload_size:[24576], speed:[38.102326]
id:[12599], time_cost:[1001], payload_size:[30720], speed:[30.689311]
id:[14247], time_cost:[1100], payload_size:[16384], speed:[14.894545]
id:[13190], time_cost:[1230], payload_size:[45056], speed:[36.630894]
id:[14339], time_cost:[1280], payload_size:[39936], speed:[31.200000]
id:[14507], time_cost:[1034], payload_size:[10240], speed:[9.903288]
id:[13244], time_cost:[1114], payload_size:[7680], speed:[6.894075]
id:[10657], time_cost:[1040], payload_size:[44544], speed:[42.830769]
id:[12723], time_cost:[1015], payload_size:[10752], speed:[10.593103]
id:[10675], time_cost:[1276], payload_size:[27648], speed:[21.667712]
id:[10409], time_cost:[1140], payload_size:[18944], speed:[16.617544]
id:[13222], time_cost:[1150], payload_size:[6144], speed:[5.342609]
id:[12597], time_cost:[956], payload_size:[23040], speed:[24.100418]
